Abbreviation;Filename;German;Hebrew;English;Greek
Mt;;Matthäus;מַתִּתְיָהוּ;Matthew;κατα μαθθαιον
Mk;;Markus;מַרְקוֹס;Mark;κατα μαρκον
Lk;;Lukas;לוּקָס;Luke;κατα λουκαν
Joh;;Johannes;יוֹחָנָן;John;κατα ιωαννην
Apg;;Apostelgeschichte;מַעֲשֵׂי הַשְּׁלִיחִים;Acts;πραξεις των αποστολων
Röm;;Römer;אִגֶּרֶת אֶל-הָרוֹמִים;Romans;προς ρωμαιους
1Kor;;1. Korinther;אִגֶּרֶת אֶל-הַקּוֹרִנְתִּיִים הָרִאשׁוֹנָה;1 Corinthians;προς κορινθιους α
2Kor;;2. Korinther;אִגֶּרֶת אֶל-הַקּוֹרִנְתִּיִים הַשְּׁנִיָּה;2 Corinthians;προς κορινθιους β
Gal;;Galater;אִגֶּרֶת אֶל-הַגְּלָטִים;Galatians;προς γαλατας
Eph;;Epheser;אִגֶּרֶת אֶל-הָאֶפְסִים;Ephesians;προς εφεσιους
Phil;;Philipper;אִגֶּרֶת אֶל-הַפִּילִפִּיִּים;Philippians;προς φιλιππησιους
Kol;;Kolosser;אִגֶּרֶת אֶל-הַקּוֹלַסִּים;Colossians;προς κολοσσαεις
1Thess;;1. Thessalonicher;אִגֶּרֶת אֶל-הַתְּסַלּוֹנִיקִים הָרִאשׁוֹנָה;1 Thessalonians;προς θεσσαλονικεις α
2Thess;;2. Thessalonicher;אִגֶּרֶת אֶל-הַתְּסַלּוֹנִיקִים הַשְּׁנִיָּה;2 Thessalonians;προς θεσσαλονικεις β
1Tim;;1. Timotheus;אִגֶּרֶת אֶל-טִימוֹתֵאוֹס הָרִאשׁוֹנָה;1 Timothy;προς τιμοθεον α
2Tim;;2. Timotheus;אִגֶּרֶת אֶל-טִימוֹתֵאוֹס הַשְּׁנִיָּה;2 Timothy;προς τιμοθεον β
Tit;;Titus;אִגֶּרֶת אֶל-טִיטוֹס;Titus;προς τιτον
Phlm;;Philemon;אִגֶּרֶת אֶל-פִּילֵמוֹן;Philemon;προς φιλημονα
Hebr;;Hebräer;אִגֶּרֶת אֶל-הָעִבְרִים;Hebrews;προς εβραιους
Jak;;Jakobus;אִגֶּרֶת יַעֲקֹב;James;ιακωβου
1Petr;;1. Petrus;אִגֶּרֶת פֶּטְרוֹס הָרִאשׁוֹנָה;1 Peter;πετρου α
2Petr;;2. Petrus;אִגֶּרֶת פֶּטְרוֹס הַשְּׁנִיָּה;2 Peter;πετρου β
1Joh;;1. Johannes;אִגֶּרֶת יוֹחָנָן הָרִאשׁוֹנָה;1 John;ιωαννου α
2Joh;;2. Johannes;אִגֶּרֶת יוֹחָנָן הַשְּׁנִיָּה;2 John;ιωαννου β
3Joh;;3. Johannes;אִגֶּרֶת יוֹחָנָן הַשְּׁלִישִׁית;3 John;ιωαννου γ
Jud;;Judas;אִגֶּרֶת יְהוּדָה;Jude;ιουδα
Offb;;Offenbarung;הִתְגַּלּוּת;Revelation;αποκαλυψις ιωαννου